Income,Recency,NumWebVisitsMonth,Complain,Response,AcceptedAnyCmp,HasChildren,Age,ClientDays,AmountSpend,NumPurchases,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Generation_BabyBoomer,Generation_Millennials,Generation_Postguerra,Generation_X,Generation_Z,NewMaritalStatus_Couple,NewMaritalStatus_Divorced,NewMaritalStatus_Other,NewMaritalStatus_Single,NewMaritalStatus_Widow
58138.0,58,7,0,1,0,0,66,3885,1617,25,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
46344.0,38,5,0,0,0,1,69,3335,27,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
71613.0,26,4,0,0,0,0,58,3534,776,21,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
26646.0,26,6,0,0,0,1,39,3361,53,8,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
58293.0,94,5,0,0,0,1,42,3383,422,19,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
62513.0,16,6,0,0,0,1,56,3515,716,22,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
55635.0,34,6,0,0,0,1,52,3815,590,21,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
33454.0,32,8,0,0,0,1,38,3639,169,10,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
30351.0,19,9,0,1,0,1,49,3610,46,6,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
5648.0,68,20,0,0,1,1,73,3330,49,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
7500.0,59,8,0,0,0,0,47,3815,61,6,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
63033.0,82,2,0,0,0,0,64,3448,1102,16,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
59354.0,53,6,0,0,0,1,71,3448,310,15,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
17323.0,38,8,0,0,0,0,36,3849,46,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
82800.0,23,3,0,1,1,0,77,3804,1315,26,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
41850.0,51,8,0,0,0,1,43,3774,96,9,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
37760.0,20,7,0,0,0,0,77,3889,317,13,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
76995.0,91,5,0,0,1,1,74,3680,1782,26,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
33812.0,86,6,0,0,0,1,38,3825,133,8,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
37040.0,41,8,0,0,0,0,41,3912,316,12,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2447.0,42,1,0,0,0,1,44,3761,1730,43,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
58607.0,63,8,0,0,1,1,74,3775,972,17,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
65324.0,0,4,0,0,0,1,69,3391,544,20,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
40689.0,69,8,0,0,0,1,72,3690,444,20,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
18589.0,89,7,0,0,0,0,54,3765,75,8,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
53359.0,4,7,0,0,0,1,47,3620,257,14,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
38360.0,26,3,0,0,0,1,34,3616,131,9,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
84618.0,96,2,0,0,1,0,58,3441,1672,26,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
10979.0,34,5,0,0,0,0,34,3260,30,8,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
38620.0,56,3,0,0,0,0,60,3636,318,11,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
40548.0,31,5,0,0,1,1,53,3849,120,9,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
46610.0,8,6,0,1,0,1,71,3830,302,17,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
68657.0,4,7,0,0,0,0,77,3716,1196,18,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
49389.0,55,7,0,0,0,1,72,3526,65,6,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
67353.0,37,2,0,0,0,1,53,3402,913,28,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
23718.0,76,7,0,0,0,1,47,3522,81,9,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
42429.0,99,5,0,0,0,1,50,3360,67,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
80011.0,3,4,0,0,0,1,43,3648,1395,21,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
20559.0,88,8,0,0,0,1,38,3696,53,7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
21994.0,4,5,0,0,0,1,66,3774,22,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
